date,developerResponse,review,rating,isEdited,title,userName,Country
2021-08-16 17:30:16,"{'id': 24578081, 'body': 'Hello, \nThank you for such great detailed feedback. It means a lot to us. We are happy that Stress Monitor helps you monitor your mental and physical health and manage your stressors to feel better. \nOur team is continuously working on the app to make it better for you and bring even more value to all our users. Please, always feel free to contact us if you have any other questions or suggestions about the app.\n\nWarm Wishes, Stress Monitor Team. ', 'modified': '2021-08-18T12:01:22Z'}","I’ve only had the app maybe a week or so, but it sees info for the past three weeks of data on the Apple Watch. It is incredible to see where I am burning out. 

I was on vacation for a month and my HRV was great, and then it immediately changed from something like 223 to 34. Looked at my time log, and sure enough that’s when I took a work phone call during my vacation. Been checking my HRV consistently and have another HRV app. Both are identical reads. 

So worth the cost of this to better control your physiology, take a mental health break, and what’s causing your stressors so you can make the needed positive coping mechanisms.",5,False,Fantastic App,Freezing in Winnipeg,CAN
2023-04-14 15:09:13,"{'id': 36310019, 'body': ""Thank you for your review, Adam. We're glad to hear that the app has been helpful in understanding your stress. We'll continue to work hard to provide features and tools that support our users in managing their stress. If you have any suggestions or feedback, please don't hesitate to reach out to us. Thank you for using our app!\n\nBest Wishes,\nElena Strok\nFounder of Stress Monitor App"", 'modified': '2023-05-03T15:22:58Z'}","This app seems to log a short history of my levels of stress. This gives me some proof that I experience high levels of stress regularly. 

Thank you
Adam",5,False,Something to show,delete/summer,CAN
2022-12-21 12:02:27,"{'id': 34046380, 'body': 'Hi! We are sorry you are disappointed with the app. You can use Stress Monitor App on the Apple Watch for free and see if it works for you. It also includes free Stress Monitor Watch Face and notifications on your stress level. Please, feel free to contact us if you have any other questions and I’ll be happy to help. Best Wishes, Stress Monitor Team', 'modified': '2023-01-02T14:28:24Z'}",I’m intrigued by the app but to pay $24.99 as the lowest payment option without a free trial period is too much to ask. I have no idea yet if this will add value or not. A simple 7 day free trial could really increase uptake.,2,False,Too much to pay,Sasmore,CAN
2023-06-02 03:46:55,"{'id': 36962807, 'body': 'Hello, \nThank you for your feedback and for your previous recommendations of our app. \nWe recognize that everyone has unique needs and financial considerations when it comes to app usage. Our app offers a free version available on the Apple Watch, which includes the Watch face and complications, stress notifications, and the recent stress result.\nWe also offer a 7-day free trial period. This allows you to experience the full benefits of our app before making any commitments.\n\nThank you for your understanding and we hope you have a pleasant day! \n\nBest Wishes,\nElena Strok\nFounder of Stress Monitor App', 'modified': '2023-06-06T16:22:55Z'}",The newest update has removed the weeklong chart and now only shows the moment by moment notifications on the watch. I used to tell others about it the app so they could try out the free version (no doubt some would have bought it) but without the basic free version it’s nearly useless and certainly not a good way to get people to sign up and eventually purchase.,1,False,Update - doesn’t work now,Greenvale,CAN
2023-06-01 15:06:39,"{'id': 36962821, 'body': 'Hello,\xa0\nthank you for your feedback.\xa0We recognize that everyone has unique needs and financial considerations when it comes to app usage. Our app offers a free version available on the Apple Watch, which includes the Watch face and complications, stress notifications, and the recent stress result.\xa0\n\nWe also offer a 7-day free trial period. This allows you to experience the full benefits of our app before making any commitments.\xa0\n\nThank you for your understanding and we hope you have a pleasant day!\xa0\n\nBest Wishes,\nElena Strok\nFounder of Stress Monitor App', 'modified': '2023-06-06T16:25:36Z'}","Need to pay for use ,only free with single feature and that is for month",1,False,Need to pay,Rav6595,CAN
2023-05-20 22:25:31,,It needs an option to check when I go in to check…I don’t always want to know what it was an hour ago…I want to know when I go to look that moment.,3,False,I like the app but…,Trottier 2008,CAN
2023-05-15 03:25:39,,Is this app for the apple watch 3 or for certain  watches ? ?,2,False,Question about app,shrhfg,CAN
2023-05-06 13:36:27,,"Out of all the HRV Stress tracking apps that I have used, I have found that this one presents the most accurate results/feedback. 

HOWEVER: I am just using the free app, not the full app. I simply cannot afford to spend over $70 per year on this and every other single app out there. I tried finding a way to contact the company about seeing if they provided a lifetime license, but all they have is a Facebook link (which I do not use). 

So: this is a 5 star app, but because of the high subscription fee (small rant, as almost EVERY app now has a subscription fee—which I see plainly as a money grab—how does Apple or each app dev expect to make money? Unless you are super rich, you may be able to afford only one or two apps (on top of Prime, Netflix, Spotify yearly subscriptions…))….. I am giving this app 3 stars. 

I find the free version gives me the basics of what I need, but I truly would love to have a way to afford the full version without wasting $70 a year. 

Now that this rant is over, here is why EVERYONE should at least try the free app, and the free 7 day trial:

My overall health has been getting a lot worse (due to long Covid, Crohn’s, and post surgery issues, especially short of breath/trouble breathing. I am only in my 40s)… when I started using this app, right away, almost every day it would tell me I was very stressed / overloaded, with regular readings as low as 5 or 8ms, usually 12-15ms on average. That is bad. 

Through trial and error, and after talking with my physiotherapist, I finally discovered a few weeks ago that (due to my ongoing pain, post-surgery issues), I am unconsciously not breathing properly. I am always taking shallow breaths, or not breathing in the way that expands the rib cage, moves the diaphragm. It is actually difficult for me to do this. This type of breathing is causing my alarming low HRV readings.

Now that I am aware of this, I am more mindful of my breathing… and lo and behold, within the last few weeks my Stress Monitor scores are slowly improving. For the first time in probably years last week I actually found myself breathing normally (when I wasn’t paying attention—and the score on the app showed it).

So to put it plainly, this app may have helped save (extend) and improve my life, in the long run. 

But please, O’ gracious devs, please can you provide a lifetime fee (that isn’t crazy expensive) to those who cannot afford high monthly/yearly fees?

***As an added bonus, please use my testimonial here as a way to market your app. And maybe develop added features.

Anyone who has had Crohn’s or ulcerative colitis-related surgery (or any harsh abdominal) may also have typical breathing challenges due to how messed up there stomach core is. I truly believe that this app can help people learn how yo breathe properly again, which is a life-saver.",2,False,I really like this app but…,Darms,CAN
2023-04-18 13:46:24,"{'id': 36307158, 'body': ""Hi! Thanks for trying our app. We're sorry to hear that it didn't meet your expectations. You can use Stress Monitor App on the Apple Watch for free and see if it works for you. It also includes free Stress Monitor Watch Face and notifications on your stress level. If you have any questions or concerns, please don't hesitate to reach out. We're here to help.\xa0\n\nBest regards,\nStress Monitor Team"", 'modified': '2023-05-03T13:08:52Z'}","I was disappointed that you have to pay to see anything at all. There’s just a premium option, no free one, even though they make you think there is.",1,False,Can’t do anything with paying,Ksrewiy,CAN
2023-02-08 07:50:36,,Get the yearly while it’s cheap it’s worth the investment at least,5,False,Pretty accurate,sentjne,CAN
2023-03-10 02:50:38,"{'id': 36307184, 'body': ""Hi! Thanks for trying our app. We're sorry to hear that it didn't meet your expectations. You can use Stress Monitor App on the Apple Watch for free and see if it works for you. It also includes free Stress Monitor Watch Face and notifications on your stress level. If you have any questions or concerns, please don't hesitate to reach out. We're here to help.\xa0\n\nBest regards,\nStress Monitor Team"", 'modified': '2023-05-03T13:09:55Z'}",This is a paid app. 70.00 a year or 25.00 a month,1,False,Paid subscription only,Liesa Wilson,CAN
2023-03-10 01:45:56,,No analytics to speak of. A waste of money.,1,False,Not worth the high subscription fee,Cardinaljoker123,CAN
2023-03-04 23:33:15,,"Very expensive with no trial. Asking for a big leap of faith. Apple Watch app seems to update every couple of hours and the phone app only shows a weekly view. No real way to determine if it’s worth the steep price. Love the idea, but not sold on the value.",2,False,No trial???,markmckay,CAN
2023-01-06 01:28:15,"{'id': 34180663, 'body': 'Hi! Thank you for taking the time to leave a review for our app. We are happy to know you enjoy the app. We’ll continue to work hard to improve the app and provide a great experience for all of our users.\n\nBest Wishes,\nElena Strok\nFounder of Stress Monitor App', 'modified': '2023-01-09T15:34:31Z'}",Just love this app,5,False,Love this,SingerCoder,CAN
