date,developerResponse,review,rating,isEdited,userName,title,Country
2022-10-16 07:49:34,"{'id': 32649303, 'body': 'Hi! Thank you for your feedback! We’re glad to know you like our new update with recommendations! To read the full notification, just tap and hold it. You’ll see the full text of the message this way. This recommendation is also available in the iPhone app on the main tab under the daily scores. Please, always feel free to contact us if you have any questions or suggestions about the app.\n\nBest Wishes,\nElena Strok\nFounder of Stress Monitor App', 'modified': '2022-10-18T15:46:41Z'}","I like the idea of the info alerts that have been introduced in this update... BUT the notification doesn't allow you to read the message and clicking the notification clears it and opens the app without showing the message. Frustrating as I would love to see what it says about my prolonged lack of sleep. 

I appreciate the explanation of the way to trigger the app to calculate - use Breathe for a minute breathing normally.",4,False,TanyaManser,Good but I can not read the advice notification,UK
2022-07-15 06:14:16,,This really is a good app but is starting to get me paranoid as I am constantly getting overload or pay attention this could be because I am a single father looking after a 2 year old. We do lots of walks and get plenty of exercise and eat reasonably well but it will not go down. But I still think it is a good app,4,False,stress daddy,Great app,UK
2023-03-15 09:05:27,,"This actually increased my stress lol. Downloaded and all was looking good and then payment is required for premium subscription, no thanks I will just to the free version for now, umm no, premium or nothing, oh really so when oven offered a premium then there is a free version? It’s premium or nothing. So why offer a premium if that’s the normal version, premium means you get extra features not just to use the app in the first place. I’m still keen but not without having the opportunity to have a good play.",3,False,Steve Clifford UK,No ‘free’ subscription,UK
2023-01-21 12:08:18,,"I have not subscribed to your app but I have had it installed for a long time, but I keep getting notifications every day telling me I’m stressed out. I haven’t worked for a month I had a week off over Christmas which was planned and got Covid in the New Year. I have been sitting at home waiting to feel better. Your app says I have experienced medium to high stress the last few days why is that? The only thing I’m having trouble with at the moment is sleeping at the moment please advise about these readings.",1,False,Steve-d-2002,Where does this app get its data from?,UK
2023-05-31 17:22:44,,Worked great at first and enjoyed reviewing daily. Now it’s stuck on one screen unless I upgrade to premium which is frustrating as I can’t use it now 😡,4,False,EH1079,Stress app,UK
2022-07-15 14:48:06,"{'id': 31600329, 'body': 'Hi! We’re sorry our app didn’t meet your expectations. Please, contact us at dev@activeace.app if you need assistance in getting the refund or if you have any other questions. \n\nBest Wishes,\nElena Strok\nFounder of Stress Monitor App', 'modified': '2022-08-22T14:57:13Z'}",Free trail is a scam you will be charged a full years subscription without any notification. There is absolutely no way of getting a refund so do not take this offer on!!! App is useless as well confusing and all over the place with the information it offers!! Saying my body was stress when I was actually the most relaxed I’d ever been on holiday!!! Forget this app I’m sure there are better ones out there. How do I get a refund “app support” if you see this review,1,False,nadjaelliedodding,Total scam,UK
2023-02-13 23:03:55,"{'id': 34886274, 'body': 'Hi! We are happy to hear that the app is helpful for you in monitoring your stress. We will continue to work hard to improve the app and provide the best experience for all of our users. Thank you again for your support! \n\nBest Wishes, \nElena Strok\nFounder of Stress Monitor App', 'modified': '2023-02-15T13:50:57Z'}",I’m using this in conjunction with the breathe app and can feel the difference in my stress levels. It has been very accurate and has shown clearly which circumstances affect me and which don’t. We’ll worth it.,5,False,Millymolly123,Very helpful,UK
2023-05-18 06:41:24,,"Free version of the app on the phone always let you see the weekly overall graph so you could see your good/bad days that week. After latest update even that has been removed and you now only get a screen saying upgrade to full version. At least some warning the free version was being retired would have been nice. But no, they just removed it overnight.",1,False,dsloper,All free features removed with zero notice,UK
2021-08-13 19:25:55,"{'id': 24713074, 'body': ""UPD: We took into account the comment about the overlaid text and fixed this in the following release. This release is now available for update. We always take into account the feedback and suggestions from our users to make the app better and bring even more value to all our users.  Best Wishes, Stress Monitor Team.      \xa0\n\nFirst Developer response:\xa0\nHello, Thank you for sharing your feedback. That helps us to make the app better for our users.\n\nLet us provide some clarifications about the mentioned points.\nNew features in the recent update:\nIn this update, we have added a new Body Feedback Score. It includes more variables and allows you more accurately assess your condition, both physical and mental. It considers such data as HRV and very important Resting Heart Rate. The HRV Score that was available in the previous app version is also available in the app. You can see it on your Apple Watch, and you can also see it in the app on the main tab. You can consider it separately and as a contributor to the Body Feedback Score.\n\nEnlarged font:\nIt is very important for us to make the app easy to use for all our users. We’ll carefully check in the upcoming updates that all the descriptions are easy to read with the enlarged fonts.\n\nThe bar chart correlation with the main:\nThe scores on the main tab are averages for today. By swiping down the screen, you’ll see the detailed measurements for today and the hrv scores for that individual measurements. \nThe heatmap has a division by hours. The color of the cell reflects the average data for that hour. If you have a few measurements per hour - the color of the sell will show an average data. \n\nWe’ll take into account your feedback and think about how we can make the app better for all our users. If you have any other questions, please, always feel free to contact us at dev@activeace.app. We'll be happy to help.\n\nBest Wishes, \nElena from Stress Monitor Team."", 'modified': '2021-08-25T13:02:05Z'}","Since a recent upgrade, this app is not as good as it used to be. 

Instead of the simple gui in the watch, there's now three disks to look at. However, it seems that because I have bigger type settings as standard, text is overlaid and unreadable. 

The bar charts a few also unhelpful and don't really with the main screen. I want it back like it was.",2,False,Maxormark,Not what it was.,UK
2022-06-18 10:33:09,,"I didn’t go ahead with the initial offer. I got offered a 7 day free trial but then the subscription goes up by £6. Watch out for this one! I’ve no idea how well it works because you can’t get all the features until you pay for it-or potentially get charged a premium for taking a 7 day, not so free, trial.",2,False,Dad the destroyer,Pricing,UK
