date,review,rating,isEdited,userName,title,developerResponse,Country
2023-05-13 16:33:24,"I love my sleep monitor. I just want to share with you , I have a very bad back I’ve been waiting over two years for my back surgery so there’s lots of pain. Some times I can’t sleep for the pain is unbearable. It brings on a lot anxiety and I can’t even do anything to excersize. I love the stress montor because it lets me know when it’s to much I try to do something every day but stress montor keeps me in my my place. And of course that is not all that stressful. Keeping in a home life has its ups and downs. I’m praying for surgery soon and then I want to watch my stress level to go down . I would recommend stress app to anyone. Thank you for caring. I love the stress app along with new features. It’s easier on my eyes. I need to allow myself of the danger I’m in with my home health I can be normal and my surroundings gets the stress write back up there in a matter of seconds. Unfortunately I believe my spouse has dementia and I know all to well what happens. You see I took care of my dad and watched him die .it takes a toll on him and did me to. So I count on the stress program",5,False,Paris my nickname,Sleep with stress,,US
2022-11-13 17:15:25,"I’ve been using this app with a subscription for about a year and it is collected a lot of information about me. I agree that a lot of the data lines up with my personal experiences. This doesn’t alone surprise me because I am a pretty mindful person often paying attention to my body feedback. A lot of the data seems to tell me what I already know or will know, so aside from bringing more of my attention to this data, it hasn’t really helped me overall to be spending more time looking at this information. Overall, it’s just kind of neat, but not worth renewing. If I could go back, I would tell myself this app isn’t worth it. For example, it’s not knowing when I’m stressed or when I’m sick that is going to help me because I can detect that with my senses, so spending my time and money looking at that data is time that would be better spent addressing those things. Thanks to the devs for making a neat app. I don’t like the rating label “pay attention” and I think it makes more sense to me if that rating was called “stressed” since it is in between Overload and Normal. When I see I am in the “pay attention” zone during sleep, I think, how can I pay attention when I am sleeping? Lol, that just doesn’t seem like a realistic label. I also noticed that it gives me a better score if I’m sedentary and seems to give me worse ratings when I am more active. Again, it’s kinda neat… It’s just not for me.",3,False,klkaplan,Interesting data/time better spent,,US
2021-03-15 02:22:41,"I was very excited when I saw this ap and downloaded it. I was having problems with it from the beginning because it wasn’t recording the correct number of days or times I was logging in, so I emailed the support team and asked them to look into it for me. I also asked them if they could explain some of the recordings to me they show in their charts, as they don’t explain them in their directions. Also, in their directions, the example charts they show are different then the actual ones that are provided to us, making it even more confusing. Personally, I like the example charts better than the actual ones. 
The response I received from their customer service team was basically, sorry if you’re not happy, feel free to request a refund. And that was basically it. Um...  I didn’t ask for a refund. All I asked for was for them to look into my account and to explain some jargon terms to me, which they didn’t do. Instead, they tell me to go get lost?  Okay, that’s what I’ll do then. I downloaded Welltory which is 100% better and tells me sooo much more than I could imagine!  It’s fantastic!  
In the meantime, they tried to do an update on this app and now it won’t even record; therefore, yes, I will be asking for a refund because this app isn’t working properly. It’s a shame because I am a chemo patient, with a ton of stress in my life, and this would have been a good app for me, but it led me to Welltory and I’m a happy camper now.",1,False,Sharon Summers,What a shame 👎🏼,"{'id': 22097779, 'body': ""Hello Sharon, thank you for your opinion. We are sorry, that our explanations were unclear while communicating through the support.\n\nIn support of our highly professional team, we want to note that our app contains all the functions that are advertised in the app description/screenshots on the App Store.\n\nStress Monitor Team works every day to bring the maximum value to our users. We highly appreciate the feedback from our users and strengthen the app with new functionality with every new release.\n\nWe are always happy to provide more details if some questions weren't covered. \n\nBest wishes, Stress monitor team."", 'modified': '2021-04-07T10:49:12Z'}",US
2022-07-28 17:52:49,"I’ve been using this app for over a year. Almost from the first months of its registration on the App Store. If to compare what it was and what it has become- it’s a huge progress! It’s incredible, I open it almost every day to check how I’m feeling! My readings and the output results correspond to how I’m really feel physically and emotionally. This app could become a true game changer, if you use it right, without neglecting its recommendations. Take note of your data, especially to Overload, catch the reasons for this and make your steps to avoid this stress in your life or change your routing to feel less stressed and more balanced. I also share it with family as a part of my subscription and they love it too. To the  developers I recommend not to rest on their laurels and update the app as often as they do! Good luck!",5,False,strok007,Must-have stress and health monitor for Apple Watch users 👍,,US
2022-12-30 13:54:20,"I think I have used every stress app available for iOS, not to mention those from other platforms over the years. What I am looking for is something very simple – something that would give me a notification that I am becoming overly stressed so that I can take some kind of action. You would think that is something not so difficult to achieve but not a single app that I’ve used fulfills that purpose. As much as the apps try to use HRV, I just don’t think it’s really suited for that purpose. My HRV seems to swing up and down all the time and I’ll be damned if I can drive any meaning from it, even when a “baseline“ is incorporated. None of the scores provided by the apps have been any help whatsoever in guiding any kind of life decision that I am aware of it doesn’t seem to make any difference if I work out when they say not to or stop when they say stop, at least not any better than my own instincts

Maybe someday somebody will come up with some thing but I’m still waiting. Meanwhile, I gave this app three stars for a good try.",3,False,sgmiller,"Good try, but…",,US
2022-11-21 03:16:30,"I’ve been using this app to keep track of my anxiety.  I don’t use medication and can never seem to focus on meditation. What this app does for me is gives me an alert to indicate “stress” and if it’s something in the moment then I can pause and assess my situation. All it takes is 1 minute with the breathe app and I take a second reading. it also works if I “feel” anxious I can take a reading and assess my situation.  I haven’t had any panic attacks since I started using this app, and I especially love that it keeps track of when I’m “in the red” and it turns out that things like my partner snoring in his sleep was truly affecting my own sleep and stress levels.  Simply knowing that has helped a lot.  I can’t speak for how scientific this really is but I can say, for my needs, it has made a world of difference in my life.",5,False,Vandenweiner,good information to have,"{'id': 33351977, 'body': 'Hi! Thank you a lot for your feedback! It means a lot for us to know that the app is helpful for you in monitoring your stress and general health. It inspires us a lot to make the app better every day and to extend its functionality.\n\nWarm Wishes,\nElena Strok\nFounder of Stress Monitor App', 'modified': '2022-11-24T15:59:52Z'}",US
2023-02-28 00:24:50,"This app is spot on and has been really helpful for identifying triggers or stressors that I may not be aware of. I thought I was aware of these prior, as I am a licensed mental health professional and have attempted to be aware as much as I am able, however this has provided further insight. The only negative I can give this app is that when reading through tips or data, there are a lot of grammatical errors that make the app look cheap or unattractive due to the inability to punctuate correctly. I’m not sure if it’s because English may not be the primary language but it’s something they should really consider looking into because it’s very noticeable. For the level of effectiveness of this app, you’d think they would be able to have someone edit their information before publishing.",5,False,KastIron89,Spot on,,US
2023-02-22 18:08:18,"I have several “unclassified” really high times recorded.  It is actually when I feel horrible!  It actually is showing when I have adrenaline dumps!  I have Dysautonomia and POTS, and I was able to show my doctor how often these “dumps” occur even while sleeping!  
  I wish there was an explanation of when the unclassified times happen that is NOT always a “good” thing!  It is not for me. It took me a long time to figure out what was happening!   I also appreciate when I get the alert of an overload. Because of my illness, I pass out when I get to that and it has kept me from that a few times when I was busy and trying to push through…. I was able to stop and rest, recover, so that I didn’t pass out and hurt myself!!",5,False,chronicallyover,Adrenaline dumps,,US
2023-05-02 15:25:50,"There really isn’t a non premium option. You have to pay $20 a month  or $50 a year, no trial options. You just have a graph that offers no legend or explanation. No menu option or account. You are stuck on this screen with “continue” as the only option and that continue leads to to purchasing a subscription. The graph looks interesting but without any option to find out what it means other than a tutorial it takes you through at the beginning with no option to go back and review it is useless unless you want to pay for the subscription. $20 for 1 month is too much to “try”. Makes me feel they do not have confidence in their product that I would want a year subscription after trying for a month that they charge 40% of the yearly subscription for 1 month. No thank you, I’ll pass and save my money. Some of the responses given to those unhappy in reviews tells me plenty as well. The attitude behind them is not becoming of customer service.",1,False,stacy v,Too expensive,,US
2023-06-03 16:17:26,"I’ve been using this app for almost a year & there’s no doubt about it that it works exactly the way it says. Everytime I get stressed it let’s me know and I’ve had this app long enough to prove this theory. I’ve been in multiple stressful situations through the past few months & it lets me know every single time. It’s definitely a great app to have if you’re trying to control your stress & heart levels. It helps me to know when I should calm myself down especially when my heart rate is extremely high for my age. This app has helped me so much in regards to my mental, physical, and emotional wellbeing. If you’re thinking about trying it out for yourself just do it. The results will shock you. 10/10. Love it!",5,False,HalliAliza,IT REALLY WORKS!!!,,US
2022-12-09 14:59:24,"I wrote a review which I could not update why the app did not work for me in detail and I received this reply from the developer. However I would not buy this app again.

I was impressed how fast they replied to my review with their point of view.  It actually validated my review, but in fairness to them, here is their reply.  

""Hi! We’re sorry our app didn’t meet your expectations. The stress in the app is not only emotional or psychological but physical as well. Insufficient sleep last night, alcohol, heat, and an exhausting workout can lower your body's resistance to stress. When you are exercising, your body experiences physical stress. In general, it is good to challenge the body with physical stress, as it increases the resistance to stress over time. But it is also important to monitor that the amount of stress you have doesn’t exceed your body's capacity to recover from it. If you have any other questions, please, feel free to contact us. Best Wishes, Stress Monitor Team""",1,False,SoundBroker,Stress when sleeping and exercising????? DUH,,US
2022-10-01 16:41:36,"At first I thought how can this tell how much stress I have!  Now after almost a month of having it I can see how stressed out my body really is!  I have C-PTSD, so since my body and mind are mostly in flight, fight, freeze, or fawn mode I have gotten extremely used to feeling high stress and that has become my normal.  This app helps me actually see my actual stress and fatigue levels!  It teaches me what I need to do in my environment and relationships to help my C-PTSD which in turn helps my body, my health, my Hyper-mobility Ehlers-Danlos Syndrome, Sjogren’s Syndrome and Fibromyalgia.

The one negative thing is it is hard to understand and navigate at first.  I recommend reading everything about the app and that will help a lot!",5,False,LSunshineO,It really works and Helps! Get it!,,US
2022-07-12 20:25:06,"The app is very useful as it very accurately shows the state of the body at the point of time. It matches exactly how my body feels. It really tells you when you need to pay attention to yourself. If my score is 30, I already know that I need a good rest. In my case it’s a day of complete rest. I had no clue that my sleep is so connected with my well-being. If you constantly keep track of the indicators in the app and take action, you can maintain your health at the proper level for many years. Useful for everyone who cares about their health, but for over 40 is a must. My recommendation to the developers is more analytics on sleep, as it very connected with my indicators and how I feel.",5,False,Natali11995,Useful for health monitoring,,US
