date,review,rating,isEdited,userName,title,Country
2022-09-27 09:46:28,"I like the idea behind the app, but find it hard to navigate. It should be easier to note prn medications, when time and date, and always should have a section for notes. I wish I could upload existing windows word files to app as I have an existing ice document with cumulative medications, detailed medication and supplements schedule, diagnosis’,physicians and contact info, allergies and sensitivities, medication intolerances, dietary concerns, ICE contacts list, insurance info and hospital preference. 
Additionally being able to import existing data from other apps would be useful. Example. Flo app is great for cycle tracking and adding notes, but I despise inability to remove undesired content and persistent adds. Flair down is okay, but symptoms logging becomes too tedious and is easier summarized with a note.  
As someone with asthma, noting and tracking chest tightness, coughing, triggers, medication usage and effectiveness and a small note section would be ideal. Siri ability to input data or check marking from Home Screen through minimal redirection that I just took my medication so the time and dosage can be logged and symptoms noted would be desirable. 
I find currently that the app is hard to figure out how to input information when compared to other products available. But I like that there is no advertising and it’s purpose is medical records with medical professional sharing.",3,False,<thrilled,I want to like this app,US
2023-02-05 03:04:53,"I love this, but I think for a health app, it’s a bit too physical. I deal with things like depression and ADHD, just overall mental health struggles. And I wish there were more basic things to track. Like showering, reading, studying if you’re in school, things more like how there’s handwashing, brushing your teeth and meditating. There’s a ton of physical options and I just feel it needs more basic things because not everyone does that stuff all the time. It would be better if it was cut into three sections. That when you open the app it gives you three options, mental, physical, and emotional health, as those are the three means of health that you’d learn about in school. I know that for some people that might be way too many options and that’s why I feel it’s better to split it up. Maybe there could be a mood tracker, basic emotions that you could put in throughout the day or even just once a day. I’d also like this stuff to be kinda specific, like for showing it’d specify if you used conditioner and/or shampoo, shaving, body wash. How many pages you read and when you started and stopped. Skin care things, like washing your face, acne treatment, spot treatment, exfoliating. I just wish I had an easy way (like on an app) to help track all these basic things, also so then I can look back to see what I did on what day to know if it’s ready to do that thing again yet.",4,False,Cosplay_Freaks,"Like it, but it could be better.",US
2022-05-10 15:03:58,"This app has a lot of great features, but the Medical ID section could really use an overhaul. As someone with a very long list of health conditions, medications, physicians, and so on, it’s extremely overwhelming trying to navigate all my necessary notes. It’s very plain and reads like an iOS note, except worse, and I find it a bit frustrating to read through. There also absolutely needs to be more categories within this page such as surgeries and procedures, physicians, family history, and so on. I have to cram so much into the medical notes category that I nearly go cross eyed. I also wish you could just copy info from the ID section without having to go into edit mode, there’s no need for that extra step for something so simple (and as someone who often loses partial hand function I really don’t need any extra steps). I really hope Apple makes this section more accessible and easier to navigate for disabled/ chronically ill folks. We need all the help we can get and making this easier to use would be extremely beneficial.",3,False,Kallisto,Needs more categories in Medical ID section,US
2021-12-08 20:38:21,"I had a heart attack last year.  I was stubborn and almost did not go into the hospital because I was sure it was something other than a life threatening heart attack.  Fortunately, between my girlfriend insisting on going to the hospital AND my Apple Watch telling me my heart rate/rhythm was unusual and I should seek medical attention, I went to the hospital (BTW Apple, I must have sold a hundred Apple Watches with my story… you are welcome).  I survived a severe heart attack in the ‘widow maker’ area of the heart, which is usually instantly fatal!  Since then, I have used this app to monitor my way back to health, share medical information with my doctor and family, and learn to take better care of my body.  I love being in control of my medical information and having it at my fingertips.  However, always using my iPhone to review my medical information is not the best use of this program (think of our eyesight as we get older).  An iPad is the PERFECT tool for this program.  Even if it was a straight conversion, using an iPad would be sooo much better.  However, I am SURE that Apple can make this program even better by making an iPad specific version.  I would be happy to help and provide feedback!",5,False,OriginalGumshoe,***  APPLE!!!  We need an iPad version!!!  ***,US
2022-09-24 06:14:19,"With iOS 16 Apple includes a new tool in Health app that finally lets you create a list of your current medications. It looks impressive but falls short in several critical areas. Each pill has an icon that is artificially created and does not picture the actual medication. Scanning labels on medicine bottles is bothersome when you can simply enter the name of a medication. Notifications are far too numerous and generic to be practical and if those I share with forget to tap their Taken buttons I get nervous unnecessarily. The educational content is superficial and I wonder how reliable all those interaction alerts are? What this tool lacks is even more disappointing - no place to put discontinued meds, no separate list for vitamins and supplements or OTC meds, no expiration reminders,  no way to post photos of prescriptions or labels, no pharmacy info, not even Rx number. Apple could have done better. Other apps already have these features, such as Tidy Health PHR and some doctor portals. Again Health app fails to meet expectations.",5,False,RoadTripper2013,Medications Tool Review,US
2022-09-24 22:50:15,"Not totally satisfied w/this app. Considering this app can draw data from veryfit & loseit apps. It can literally add meals and other data from both and doesn't do so successfully. I use also myair and 23andme apps. That can add further details. From sleep and breathing to DNA data. That can add to health and future possible patterns. If someone like myself chooses to allow such data to be consented. Shouldn't this be allowed? I think the health app falls way short in this regard. Example : Caffeine it's added in lose it but won't be added in health app. Even if a category can be added. Even combined to add to the information arsenal under health or other health information, Why not? I think when it comes to the idea that both my air and very fit or very fit pro apps can run similar but also add to the data. It would just be a tweak by the user to make any corrections to fine tune what ever is needed. Instead of manually adding something that is already in the apps. Just saying",3,False,DasRalphster,It’s ok needs work but falls short,US
2022-07-28 17:26:59,"So I just configured my moms Apple Watch and updated it about 5 days ago she is bad with technology and had the watch for 2 years and never updates it or learns the features. I showed her how to use ecg and the hr rate apps, my mom does have an enlarged heart but it has been under control for years. Yesterday my mom said her heart felt funny so I asked her to check her heart rate  which was in the 110 range which wasn’t good. I told her to take an ekg and she did and immediately said she was in a fib and we were able to show her doctors in the emergency room the multiple ekgs she took. She is stable and hopefully will be able to make a speedy recovery but I feel safer knowing she has these tools at her disposal. Hopefully they will have a blood pressure feature soon for the Apple Watch and when they do we will be purchasing for my mom with the quickness.  Greatful to Apple for always pushing the standards of technology.",5,False,Lovelykamara,Saved my moms life,US
2022-06-30 19:37:18,"I really like the app but I think there should be somewhere I can add medications taken and at what time as well as notes. In particular, I use the headache log, since I get a lot of headaches and migraines for various reasons, some of them unknown, and I would really like to be able to add on that log (see on the headache chart) if I took any pain relief, what type of pain relief, and when I took the pain relief. 

I would like to be able to look at the headache chart at a later date, see when my headache pain reduced or went away, and know if my headache went away on its own or if it needed help. Additionally to this I would like to be able to write notes, or maybe have a checklist, so I can add any factors that may be contributing, like high sugar intake, dehydration through lack of liquids or heat stroke, loud noises, etc. and how I felt ie nausea, light or sound sensitivity, thumping or steady pain, etc. That way I could see if there is a pattern and maybe what I should and should not avoid.",3,False,Saint Bernard 2,Needs medication and note entry capability,US
2023-05-02 12:01:28,"The good stuff: I like and use this app. I use it for tracking my steps and other activity, mindfulness minutes, and a few other health goals. I like that it connects to Peloton and other apps to make all the tracking easier. 

Where it could be better: The most important thing (for me) that I want to use this app for is tracking my menstrual periods. This is where it is not meeting my needs. I am 51. The period tracking is completely biased towards younger women tracking for purposes of getting pregnant or not getting pregnant. All the information is geared towards this age group. There is nothing - zero information - about perimenopause or menopause in this section of the app. It is not even acknowledged as a factor that could affect someone’s cycle… 

It would be GREAT if you add some AI and info relevant to the menstrual cycles of the over 20 million women (in the US alone) in the 45-55 age group. I will happily rate this app 5 stars if you do.",3,False,Private5477,Go from good (3 stars) to great (5 stars),US
2023-01-10 07:01:31,I’m a trans gal I take estrogen injections weekly. This typically means my cycle is 7 days. The menstrual cycle part of the app would be cool it even lets you adjust it. It just doesn’t adjust it low enough. It stops at 10 days. It could stop at 7? I’m a small part of the population I get that not every app can have features for everyone.  But I think allowing the app to go down to 7 or have an “injection gals section”. Apple is so open to saying they welcome everyone. I feel like this is a situation where the application could do better to represent the branding Apple is known for. If you look at a retail store it’s a mix of different people working there. I’m sure Apple has sensitivity training this would be an actual way you could aid the trans community with a neat inclusive feature hardly anyone will notice. I’m sure it was set to 10 because it’s unreasonable for a cis gender woman to have a shorter cycle according to common medical scientific understanding. This is an edge case but it would make me feel included. Im sure other trans gals too.,2,False,slyghtly sad lady,It’s great but there’s one thing,US
2023-02-07 18:13:01,"Happy so far. I’m hoping Freestyle Liebre will be able to sync with the health. I purchased a Bluetooth BP cup that is supposed that could  be used with the app so I don’t have to manually input. I also purchased a bathroom scale to keep track of weight as well thats sync to the app, my Dr really likes that I’m keeping track and working toward my Goals. And she is able to view and see monthly’s, weekly and daily progress..,

Also, I wish there was a way that you could put someone else on the app as well. For instance. My father, who is elderly, he does not have a smart phone. nor  Would even know how to use one. But I do like the app to keep track of all vitals, medication’s, at home blood pressure monitoring, plus and the other vitals that  comes with this app. It’s good for me to keep track of it. and  Show it to doctors when we go in. Or to pull everything up a healthcare facility. I cannot find a way to add another  Unto  to my app.",4,False,hhwestpalm,Happy,US
